nom_crise;type_crise;pays;latitude;longitude;intensite;date;population_touchee;accessibilite;description;en_cours;date_fin;source
Tsunami PHILIPPINES CELEBES SEA;Tsunami;PHILIPPINES;6;125;;31/01/1917;;;location : CELEBES SEA;False;31/01/1917;
Tsunami NEW ZEALAND KERMADEC ISLANDS;Tsunami;NEW ZEALAND;-29.2;-177;;01/05/1917;;;location : KERMADEC ISLANDS;False;01/05/1917;
Tsunami TAIWAN TAIWAN;Tsunami;TAIWAN;23.2;121.6;;06/05/1917;;;location : TAIWAN;False;06/05/1917;
Tsunami SAMOA SAMOA ISLANDS;Tsunami;SAMOA;-15.5;-173;;26/06/1917;;;location : SAMOA ISLANDS;False;26/06/1917;
Tsunami PAPUA NEW GUINEA BISMARCK SEA;Tsunami;PAPUA NEW GUINEA;-3.705;141.729;;29/07/1917;;;location : BISMARCK SEA;False;29/07/1917;
Tsunami NEW ZEALAND KERMADEC ISLANDS;Tsunami;NEW ZEALAND;-29;-177.5;;16/11/1917;;;location : KERMADEC ISLANDS;False;16/11/1917;
Tsunami CHINA GUANGDONG PROVINCE;Tsunami;CHINA;23.5;117.2;;13/02/1918;;;location : GUANGDONG PROVINCE;False;13/02/1918;
Tsunami CHILE NORTHERN CHILE;Tsunami;CHILE;-28.5;-71.5;;20/05/1918;;;location : NORTHERN CHILE;False;20/05/1918;
Tsunami CHINA YUNNAN PROVINCE;Tsunami;CHINA;26.9;103;;14/08/1918;;;location : YUNNAN PROVINCE;False;14/08/1918;
Tsunami PHILIPPINES CELEBES SEA;Tsunami;PHILIPPINES;5.538;123.994;;15/08/1918;;;location : CELEBES SEA;False;15/08/1918;
Tsunami RUSSIA S. KURIL ISLANDS;Tsunami;RUSSIA;45.5;151.5;;07/09/1918;;;location : S. KURIL ISLANDS;False;07/09/1918;
Tsunami USA TERRITORY PUERTO RICO: MONA PASSAGE;Tsunami;USA TERRITORY;18.7;-67.189;;11/10/1918;;;location : PUERTO RICO: MONA PASSAGE;False;11/10/1918;
Tsunami USA TERRITORY PUERTO RICO;Tsunami;USA TERRITORY;18.441;-67.214;;25/10/1918;;;location : PUERTO RICO;False;25/10/1918;
Tsunami RUSSIA S. KURIL ISLANDS;Tsunami;RUSSIA;44.5;151.5;;08/11/1918;;;location : S. KURIL ISLANDS;False;08/11/1918;
Tsunami CHILE NORTHERN CHILE;Tsunami;CHILE;-26;-71;;04/12/1918;;;location : NORTHERN CHILE;False;04/12/1918;
Tsunami PHILIPPINES MINDANAO ISLAND, PHILIPPINES;Tsunami;PHILIPPINES;8;126;;01/01/1919;;;location : MINDANAO ISLAND, PHILIPPINES;False;01/01/1919;
Tsunami TONGA TONGA ISLANDS;Tsunami;TONGA;-19.6;-176.6;;01/01/1919;;;location : TONGA ISLANDS;False;01/01/1919;
Tsunami TONGA TONGA ISLANDS;Tsunami;TONGA;-18.352;-172.515;;30/04/1919;;;location : TONGA ISLANDS;False;30/04/1919;
Tsunami PAPUA NEW GUINEA SOLOMON SEA;Tsunami;PAPUA NEW GUINEA;-4.806;153.859;;06/05/1919;;;location : SOLOMON SEA;False;06/05/1919;
Tsunami NICARAGUA GULF OF FONSECA;Tsunami;NICARAGUA;12.32;-88.301;;29/06/1919;;;location : GULF OF FONSECA;False;29/06/1919;
Tsunami ITALY TYRRHENIAN SEA;Tsunami;ITALY;41.4;12.6;;22/10/1919;;;location : TYRRHENIAN SEA;False;22/10/1919;
Tsunami PAPUA NEW GUINEA SOLOMON SEA;Tsunami;PAPUA NEW GUINEA;-6.5;150;;02/02/1920;;;location : SOLOMON SEA;False;02/02/1920;
Tsunami CHILE CENTRAL CHILE;Tsunami;CHILE;-38;-73.5;;20/08/1920;;;location : CENTRAL CHILE;False;20/08/1920;
Tsunami VANUATU VANUATU ISLANDS;Tsunami;VANUATU;-19.919;168.53;;20/09/1920;;;location : VANUATU ISLANDS;False;20/09/1920;
Tsunami CHINA CHINA: GANSU AND SHANXI PROVINCES;Tsunami;CHINA;36.601;105.317;;16/12/1920;;;location : CHINA: GANSU AND SHANXI PROVINCES;False;16/12/1920;
Tsunami ALBANIA ALBANIAN COASTS;Tsunami;ALBANIA;41.197;20.704;;18/12/1920;;;location : ALBANIAN COASTS;False;18/12/1920;
Tsunami INDONESIA MAKASSAR STRAIT;Tsunami;INDONESIA;0.7;117.9;;14/05/1921;;;location : MAKASSAR STRAIT;False;14/05/1921;
Tsunami INDONESIA JAVA;Tsunami;INDONESIA;-11;111;;11/09/1921;;;location : JAVA;False;11/09/1921;
Tsunami PHILIPPINES PHILIPPINE TRENCH;Tsunami;PHILIPPINES;8;127;;11/11/1921;;;location : PHILIPPINE TRENCH;False;11/11/1921;
Tsunami PERU S. PERU;Tsunami;PERU;-16.5;-73;;06/01/1922;;;location : S. PERU;False;06/01/1922;
Tsunami PAPUA NEW GUINEA BISMARCK SEA;Tsunami;PAPUA NEW GUINEA;-7.111;143.53;;19/01/1922;;;location : BISMARCK SEA;False;19/01/1922;
Tsunami PHILIPPINES CEBU ISLAND;Tsunami;PHILIPPINES;10.2;124.1;;27/02/1922;;;location : CEBU ISLAND;False;27/02/1922;
Tsunami PHILIPPINES SULU SEA;Tsunami;PHILIPPINES;9;123.25;;01/03/1922;;;location : SULU SEA;False;01/03/1922;
Tsunami GREECE AEGEAN SEA;Tsunami;GREECE;38.257;23.589;;08/08/1922;;;location : AEGEAN SEA;False;08/08/1922;
Tsunami PHILIPPINES NEGROS ISLAND;Tsunami;PHILIPPINES;9;123.3;;01/09/1922;;;location : NEGROS ISLAND;False;01/09/1922;
Tsunami TAIWAN TAIWAN;Tsunami;TAIWAN;24.5;122;;01/09/1922;;;location : TAIWAN;False;01/09/1922;
Tsunami CHILE NORTHERN CHILE;Tsunami;CHILE;-28;-72;;07/11/1922;;;location : NORTHERN CHILE;False;07/11/1922;
Tsunami CHILE NORTHERN CHILE;Tsunami;CHILE;-28.293;-69.852;;11/11/1922;;;location : NORTHERN CHILE;False;11/11/1922;
Tsunami NEW ZEALAND SE. NEW ZEALAND;Tsunami;NEW ZEALAND;-43;173;;25/12/1922;;;location : SE. NEW ZEALAND;False;25/12/1922;
Tsunami USA N. CALIFORNIA;Tsunami;USA;40.482;-125.034;;22/01/1923;;;location : N. CALIFORNIA;False;22/01/1923;
Tsunami RUSSIA KAMCHATKA;Tsunami;RUSSIA;54.486;160.472;;03/02/1923;;;location : KAMCHATKA;False;03/02/1923;
Tsunami PHILIPPINES MINDANAO ISLAND, PHILIPPINES;Tsunami;PHILIPPINES;6.5;124;;02/03/1923;;;location : MINDANAO ISLAND, PHILIPPINES;False;02/03/1923;
Tsunami RUSSIA KAMCHATKA;Tsunami;RUSSIA;56.5;162.5;;13/04/1923;;;location : KAMCHATKA;False;13/04/1923;
Tsunami CHILE NORTHERN CHILE;Tsunami;CHILE;-28.75;-71.75;;04/05/1923;;;location : NORTHERN CHILE;False;04/05/1923;
Tsunami JAPAN KASHIMA, JAPAN;Tsunami;JAPAN;35.4;141.8;;01/06/1923;;;location : KASHIMA, JAPAN;False;01/06/1923;
Tsunami PHILIPPINES BUTUAN, SULU SEA;Tsunami;PHILIPPINES;9.3;125;;18/07/1923;;;location : BUTUAN, SULU SEA;False;18/07/1923;
Tsunami JAPAN SAGAMI BAY;Tsunami;JAPAN;35.1;139.5;;01/09/1923;;;location : SAGAMI BAY;False;01/09/1923;
Tsunami JAPAN RYUKYU ISLANDS;Tsunami;JAPAN;34.9;140.2;;02/09/1923;;;location : RYUKYU ISLANDS;False;02/09/1923;
Tsunami PAPUA NEW GUINEA BISMARCK SEA;Tsunami;PAPUA NEW GUINEA;-4.653;154.232;;02/11/1923;;;location : BISMARCK SEA;False;02/11/1923;
Tsunami PAPUA NEW GUINEA NEW BRITAIN;Tsunami;PAPUA NEW GUINEA;-4.539;153.107;;04/11/1923;;;location : NEW BRITAIN;False;04/11/1923;
Tsunami GREECE NORTH AEGEAN SEA;Tsunami;GREECE;39.82;23.594;;05/12/1923;;;location : NORTH AEGEAN SEA;False;05/12/1923;
Tsunami VIETNAM OFF COAST OF CENTRAL VIETNAM;Tsunami;VIETNAM;10.158;109.014;;//1923;;;location : OFF COAST OF CENTRAL VIETNAM;False;//1923;
Tsunami COSTA RICA COSTA RICA;Tsunami;COSTA RICA;9.587;-84.515;;04/03/1924;;;location : COSTA RICA;False;04/03/1924;
Tsunami RUSSIA TATAR STRAIT;Tsunami;RUSSIA;49.179;142.436;;15/03/1924;;;location : TATAR STRAIT;False;15/03/1924;
Tsunami PHILIPPINES E. MINDANAO ISLAND;Tsunami;PHILIPPINES;6.5;126.5;;14/04/1924;;;location : E. MINDANAO ISLAND;False;14/04/1924;
Tsunami PHILIPPINES PHILIPPINES;Tsunami;PHILIPPINES;16;118;;06/05/1924;;;location : PHILIPPINES;False;06/05/1924;
Tsunami AUSTRALIA MACQUARIE ISLAND;Tsunami;AUSTRALIA;-56;157.5;;26/06/1924;;;location : MACQUARIE ISLAND;False;26/06/1924;
Tsunami PHILIPPINES E. MINDANAO ISLAND;Tsunami;PHILIPPINES;8.5;126.5;;30/08/1924;;;location : E. MINDANAO ISLAND;False;30/08/1924;
Tsunami USA GULF OF ALASKA, AK;Tsunami;USA;60;-146;;23/02/1925;;;location : GULF OF ALASKA, AK;False;23/02/1925;
Tsunami PHILIPPINES W. LUZON ISLAND;Tsunami;PHILIPPINES;9.3;122.7;;05/05/1925;;;location : W. LUZON ISLAND;False;05/05/1925;
Tsunami CHILE NORTHERN CHILE;Tsunami;CHILE;-26;-71.5;;15/05/1925;;;location : NORTHERN CHILE;False;15/05/1925;
Tsunami PHILIPPINES W. LUZON ISLAND;Tsunami;PHILIPPINES;12.2;122.1;;25/05/1925;;;location : W. LUZON ISLAND;False;25/05/1925;
Tsunami PHILIPPINES PHILIPPINE SEA;Tsunami;PHILIPPINES;13;125;;13/11/1925;;;location : PHILIPPINE SEA;False;13/11/1925;
Tsunami MEXICO S. MEXICO;Tsunami;MEXICO;18.5;-107;;16/11/1925;;;location : S. MEXICO;False;16/11/1925;
Tsunami SOLOMON ISLANDS SOLOMON SEA;Tsunami;SOLOMON ISLANDS;-10.061;159.215;;25/01/1926;;;location : SOLOMON SEA;False;25/01/1926;
Tsunami INDONESIA SW. SUMATRA;Tsunami;INDONESIA;0.059;101.419;;28/06/1926;;;location : SW. SUMATRA;False;28/06/1926;
Tsunami ITALY AEOLIAN ISLANDS;Tsunami;ITALY;38.567;14.833;;17/08/1926;;;location : AEOLIAN ISLANDS;False;17/08/1926;
Tsunami GREECE ARGOLIKOS GULF;Tsunami;GREECE;36.5;23.3;;30/08/1926;;;location : ARGOLIKOS GULF;False;30/08/1926;
Tsunami PORTUGAL AZORES;Tsunami;PORTUGAL;37.973;-28.59;;31/08/1926;;;location : AZORES;False;31/08/1926;
Tsunami SOLOMON ISLANDS SOLOMON ISLANDS;Tsunami;SOLOMON ISLANDS;-9.674;159.519;;16/09/1926;;;location : SOLOMON ISLANDS;False;16/09/1926;
