Search Parameters;Year;Month;Day;Location Name;Latitude;Longitude;Mag;population_touchee;accessibilite
;1958;3;11;JAPAN:  RYUKYU ISLANDS;25.0;125.0;7.5;5000;0.6
;1958;4;21;INDONESIA:  SUMATRA:  BENGKULU;-4.5;104.0;6.7;5000;0.4
;1958;5;14;AZORES;38.5;-28.8;;10000;0.6
;1958;7;10;ALASKA:  LITUYA BAY;58.37;-136.665;7.8;5;0.2
;1958;7;26;PERU:  S;-13.5;-69.0;7.5;5000;0.3
;1958;8;16;IRAN:  FIRUZABAD;34.29;47.867;6.7;12000;0.4
;1958;9;1;BOLIVIA: CENTRAL: AIQUILE;-18.0;-65.0;;15000;0.4
;1958;9;4;CHILE-ARGENTINA;-33.785;-70.112;6.8;5000;0.6
;1958;9;17;RUSSIA:  KURIL ISLANDS;49.3;156.4;;5000;0.3
;1958;9;21;IRAN;36.0;49.0;5.2;5000;0.6
;1958;9;25;CHINA:  GUANGXI PROVINCE;22.5;109.5;5.8;12000;0.6
;1958;10;20;INDONESIA:  JAVA:  MALANG;-9.5;112.5;6.7;12000;0.6
;1958;11;4;EAST PACIFIC RIDGE;-50.0;-115.0;6.1;0;0.1
;1958;11;6;RUSSIA:  KURIL ISLANDS;44.53;148.54;8.3;5000;0.3
;1958;11;12;RUSSIA:  KURIL ISLANDS;44.2;148.8;;5000;0.3
;1958;11;18;ITALY:  N;44.3;9.9;;5000;0.6
;1958;11;29;ITALY:  N;44.4;8.8;;12000;0.7
;1959;1;22;SANRIKU, JAPAN;37.5;142.2;;2000;0.6
;1959;1;26;ITALY:  N;44.5;9.6;;20000;0.7
;1959;2;7;PERU-ECUADOR;-4.0;-81.5;7.4;20000;0.3
;1959;4;5;FRANCE:  ST PAUL D'UBAYE,JAUSIERS,CEILLAC,VARS;44.0;6.8;5.5;2000;0.4
;1959;4;9;RUSSIA:  KURIL ISLANDS;44.3;149.0;5.0;1000;0.3
;1959;4;11;ITALY:  CENTRAL;42.9;12.6;;2000;0.7
;1959;4;17;ITALY:  N;44.5;10.8;;10000;0.7
;1959;4;25;TURKEY:  KOYCEGIZ, MUGLA;37.0;28.7;6.3;15000;0.6
;1959;4;26;TAIWAN:  TAIPEI;24.78;122.7;7.5;10000;0.7
;1959;5;4;RUSSIA:  NEAR EAST COAST OF KAMCHATKA;52.5;159.5;8.2;5000;0.3
;1959;5;12;ARGENTINA:  SALTA;-23.07;-64.907;6.6;5000;0.4
;1959;5;24;"MEXICO:  OAXACA;";17.0;-96.3;6.8;5000;0.4
;1959;6;14;BOLIVIA-NORTHERN CHILE;-20.369;-68.0;7.5;5000;0.3
;1959;6;18;RUSSIA:  NEAR KAMCHATKA;53.9;160.5;7.0;5000;0.3
;1959;7;2;CHINA:  HENAN PROVINCE;31.8;115.3;5.0;10000;0.6
;1959;8;10;CHINA:  SHAANXI PROVINCE;35.6;110.9;5.4;10000;0.4
;1959;8;15;TAIWAN;22.18;121.13;7.0;12000;0.6
;1959;8;17;SOLOMON ISLANDS;-7.5;156.0;7.3;5000;0.3
;1959;8;18;MONTANA:  HEBGEN LAKE;44.63;-110.891;7.2;17000;0.4
;1959;8;26;MEXICO:  GULF OF CAMPECHE;18.3;-94.4;6.9;5000;0.6
;1959;8;29;RUSSIA: LAKE BAYKAL (BAIKAL);52.0;106.5;6.5;12000;0.4
;1959;9;1;ALBANIA;40.9;19.8;6.1;15000;0.6
;1959;9;14;KERMADEC ISLANDS;-28.5;-177.0;7.7;0;0.1
;1959;10;25;TURKEY:  NINIA;39.1;41.6;6.2;1500;0.4
;1959;10;26;SANRIKU, JAPAN;37.5;143.2;;2000;0.6
;1959;10;27;RUSSIA:  KAMCHATKA;45.89;151.11;7.2;5000;0.3
;1959;11;7;ALGERIA:  BOU-MEDFA;36.4;2.6;5.5;12000;0.6
;1959;11;15;CHINA:  XINGJIANG;38.75;75.317;6.4;5000;0.3
;1959;12;24;PERU:  AYACUCHO,POMABAMBA,MOYOBAMBA,HUAHUAPUQUIO;-13.5;-74.0;;12000;0.3
;1960;1;13;PERU:  AREQUIPA,CHUQUIBAMBA,CARAVELI,COTAHUASI;-15.75;-72.75;7.8;12000;0.4
;1960;1;15;PERU:  LIMA,NAZCA,ICA,HUANCAVELIC,PALPA,HUAITARA;-15.008;-74.867;7.1;12000;0.4
;1960;2;2;CHINA:  GANSU PROVINCE;33.8;104.5;5.3;10000;0.4
;1960;2;21;ALGERIA:  MELOUZA;36.0;4.1;5.6;12000;0.4
;1960;2;29;MOROCCO:  AGADIR;30.45;-9.62;5.9;35000;0.7
;1960;3;20;JAPAN:  SANRIKU;39.8;143.4;7.5;30000;0.4
;1960;3;23;JAPAN:  SANRIKU;39.4;143.7;6.7;3000;0.5
;1960;4;13;CHINA:  JILIN PROVINCE;44.7;127.0;5.8;5000;0.6
;1960;4;24;IRAN:  LAR;27.814;54.497;5.9;20000;0.4
;1960;4;29;INDONESIA:  CENTRAL SULAWESI:  UNA-UNA ISLAND;-0.5;121.5;;12000;0.3
;1960;5;21;CHILE:  CENTRAL;-37.872;-73.243;8.2;2000000;0.4
;1960;5;22;CHILE:  PUERTO MONTT, VALDIVIA;-38.143;-73.407;9.5;2000000;0.4
;1960;5;26;GREECE-ALBANIA;40.0;20.0;6.5;10000;0.6
;1960;6;11;PAPUA NEW GUINEA:  W. SOLOMON SEA;-9.4;152.3;6.6;5000;0.3
;1960;7;29;JAPAN:  SANRIKU;40.3;142.5;6.7;5000;0.6
;1960;7;30;ECUADOR;-1.5;-79.0;;20000;0.4
;1960;8;27;INDIA:  N;28.6;76.7;;1500;0.6
;1960;9;22;CONGO:  LAKE TANGANYIKA;-3.6;29.0;6.6;5000;0.4
;1960;10;7;PHILIPPINES:  PANAY;11.1;122.3;;5000;0.6
;1960;11;1;CHILE:  CONCEPCION;-38.5;-75.1;7.4;300000;0.6
;1960;11;9;CHINA:  SICHUAN PROVINCE;32.7;103.7;6.8;10000;0.4
;1960;11;20;PERU;-6.8;-80.7;6.7;30000;0.4
;1961;1;10;RUSSIA:  KAMCHATKA;50.016;156.099;6.6;5000;0.3
;1961;1;16;JAPAN:  KASHIMA;36.0;142.3;;5000;0.6
